Px,  Py,                      theta1,                        theta4
5.0, 5.0,                     166.975578206224,                        63.4473916511404
5.0, 5.2,                     165.169001023178,                        63.702722008613
5.0, 5.4,                     163.393998121354,                        64.0278441546382
5.0, 5.6,                     161.644641675792,                        64.4204752796937
5.0, 5.8,                     159.915635592601,                        64.8787231566246
5.0, 6.0,                     158.202180247569,                        65.4010886363823
5.0, 6.2,                     156.499860687311,                        65.986472315701
5.0, 6.4,                     154.804551994504,                        66.6341867241039
5.0, 6.6,                     153.11233691866,                     67.3439756152256
5.0, 6.8,                     151.419431807055,                        68.1160423409632
5.0, 7.0,                     149.722117453415,                        68.9510898935863
5.0, 7.2,                     148.016671780942,                        69.8503761129586
5.0, 7.4,                     146.299301319467,                        70.8157889233715
5.0, 7.6,                     144.566068216901,                        71.8499485340178
5.0, 7.8,                     142.812808997774,                        72.9563467242408
5.0, 8.0,                     141.035040350667,                        74.1395383578631
5.0, 8.2,                     139.227845720355,                        75.4054084141564
5.0, 8.4,                     137.385734103777,                        76.7615514707985
5.0, 8.6,                     135.502458691749,                        78.2178243559624
5.0, 8.8,                     133.570776963316,                        79.7871760720115
5.0, 9.0,                     131.582123898106,                        81.4869426844554
5.2, 9.0,                     130.288723856072,                        79.4587563801635
5.4, 9.0,                     128.951828125441,                        77.4760291906779
5.6, 9.0,                     127.572619929363,                        75.5358328105551
5.8, 9.0,                     126.152231188581,                        73.6359067365843
6.0, 9.0,                     124.691731355257,                        71.7745397351919
6.2, 8.8,                     125.019250692391,                        68.2648251244536
6.4, 8.6,                     125.19009481989,                     64.8605964075913
6.6, 8.4,                     125.209514289052,                        61.5321172874614
6.6, 8.2,                     126.793930210444,                        60.0543201300547
6.6, 8.0,                     128.326254256248,                        58.6391389470043
6.6, 7.8,                     129.811307663583,                        57.2815958587291
6.6, 7.6,                     131.253130079097,                        55.9776681797643
6.6, 7.4,                     132.655126458085,                        54.7241132399568
6.4, 7.2,                     135.891102921625,                        55.5037692499772
6.2, 7.0,                     139.15624068239,                     56.4256000242713
6.0, 6.8,                     142.461092617644,                        57.4890093697371
5.8, 6.8,                     144.333775110561,                        59.5956560333546
5.6, 6.8,                     146.169023386079,                        61.712418924687
5.4, 6.8,                     147.96375248896,                     63.8384232487416
5.2, 6.8,                     149.714894322898,                        65.9730699204587
